,"If you want to contribute to this spreadsheet, please click the link below:",,,,,,,
,https://forms.gle/YYaZ9R6k6NhXZBqj7,,,,,,,
Timestamp,What year did you start your first job?,In what industry was this job?,What was your role?,What was your monthly salary (in PHP)?,What school did you graduate from?,What is your gender?,Did you negotiate your job offer?,"If you can provide additional context to any of your answers above, you can do so here."
1/23/2020 9:30:27,2011,Media,HR Associate,12500,UP Diliman,Female,No,I wasnt a direct hire. My employment was through an outsourcing company that assured me there was a possibility for a direct hire and a higher salary.
1/23/2020 9:37:46,2011,Media,HR Associate,12500,UP Diliman,Female,No,"I wasnt a direct hire. My employment was through an outsourcing company that assured me there was a possibility for a direct hire and a higher salary.

When I found out about a male counterpart's salary it was 13k (as opposed to my 12500) despite me getting latin honors in my school.

I usually took home 15k a month though because of the additional OT pay."
1/23/2020 9:42:22,2019,Market Research,Research Associate,21000,UP Diliman,Male,Yes,Negotiated but they apparently work on a tier system for salaries.
1/23/2020 9:54:25,2016,BPO,Creative Solutions Specialist,25000,,,,
1/23/2020 9:59:50,2017,Business service,Content writer,15000,UPD,Female,No,My starting was 15k for 4hours/day of work
1/23/2020 10:05:38,2017,Tech,Software Engineer,30000,UP Diliman,M,No,
1/23/2020 10:28:35,2018,Healthcare,Physician,52000,,Female,No,
1/23/2020 10:32:51,2019,Legal profession,Associate,45000,San Beda College Alabang School of Law,Male,No,My gross doesnt account for other benefits. I have a low base pay but guaranteed allowances which provides me with a tax shield.
1/23/2020 11:20:57,2013,SEO,Content writer,7000,Holy Angel University,Female,No,Worked in the province and it tuned out that it was the literal minimum wage at the time. 
1/23/2020 11:25:35,2017,Banking,Relationship Associate,28000,UP,F,No,
1/23/2020 11:28:31,2018,e-commerce,employee engagement (HR),25000,UP Diliman,Woman,No,
1/23/2020 11:38:34,2017,Banking,Trainee,27000,Dlsu,Male,No,
1/23/2020 11:58:16,2019,Art,Freelance Artist,17000,UP Diliman,Male,No,Also have other clients to add to that salary
1/23/2020 12:28:21,2019,Health Research,Research Assistant,22600,University of the Philippines,Female,Yes,Job Order so no benefits. I get to have flexible working hours and WFH
1/23/2020 12:59:01,2015,Digital Marketing/Advertising,Communications Specialist,13000,Letran Manila,,No,
1/23/2020 13:35:13,2017,Tech,Android Engineer,25000,University of Baguio,Male,No,Had credentials which is why the first one was kinda big compared to others
1/23/2020 13:54:20,2017,Event Production,Video Editor,21000,Ateneo de Manila University,Male,Yes,
1/23/2020 14:09:25,2019,Government,Technical Assistant,27500,UP Los Banos,Female,No,"Contract of Service, so no benefits"
1/23/2020 14:49:15,2018,Financial Markets,Stockbroker,20000,DLSU,F,Yes,
